county,year,group,value
Banks,2020,Medicaid payors,10.38961038961039
Banks,2021,Medicaid payors,11.363636363636363
Banks,2022,Medicaid payors,10.084033613445378
Banks,2023,Medicaid payors,13.636363636363635
Banks,2024,Medicaid payors,6.25
Banks,2018,Private Insurance,8.433734939759036
Banks,2019,Private Insurance,-5
Banks,2020,Private Insurance,7.608695652173914
Banks,2021,Private Insurance,5.9405940594059405
Banks,2022,Private Insurance,5.714285714285714
Banks,2023,Private Insurance,5.785123966942149
Banks,2024,Private Insurance,7.746478873239436
Banks,2018,Selected Payors Total,8
Banks,2019,Selected Payors Total,3.977272727272727
Banks,2020,Selected Payors Total,8.875739644970414
Banks,2021,Selected Payors Total,9.012875536480687
Banks,2022,Selected Payors Total,8.035714285714286
Banks,2023,Selected Payors Total,9.523809523809524
Banks,2024,Selected Payors Total,7.142857142857142
Barrow,2018,All Payors,6.889952153110047
Barrow,2019,All Payors,9.330819981149858
Barrow,2020,All Payors,7.6996197718631185
Barrow,2021,All Payors,8.288770053475936
Barrow,2022,All Payors,9.32277924362357
Barrow,2023,All Payors,9.294871794871796
Barrow,2024,All Payors,7.770007770007769
Barrow,2018,Medicaid payors,6.8584070796460175
Barrow,2019,Medicaid payors,9.817351598173515
Barrow,2020,Medicaid payors,8.695652173913043
Barrow,2021,Medicaid payors,9.278350515463918
Barrow,2022,Medicaid payors,9.494949494949495
Barrow,2023,Medicaid payors,9.242144177449168
Barrow,2024,Medicaid payors,7.051282051282051
Barrow,2018,Private Insurance,6.9364161849710975
Barrow,2019,Private Insurance,8.49802371541502
Barrow,2020,Private Insurance,6.237424547283702
Barrow,2021,Private Insurance,7.6923076923076925
Barrow,2022,Private Insurance,8.98876404494382
Barrow,2023,Private Insurance,9.693053311793214
Barrow,2024,Private Insurance,8.392603129445234
Barrow,2018,Selected Payors Total,6.90010298661174
Barrow,2019,Selected Payors Total,9.110169491525424
Barrow,2020,Selected Payors Total,7.41901776384535
Barrow,2021,Selected Payors Total,8.438409311348206
Barrow,2022,Selected Payors Total,9.23226433430515
Barrow,2023,Selected Payors Total,9.482758620689655
Barrow,2024,Selected Payors Total,7.856532877882152
Bartow,2018,All Payors,8.193979933110368
Bartow,2019,All Payors,7.662538699690402
Bartow,2020,All Payors,6.559877955758962
Bartow,2021,All Payors,7.9587324981577
Bartow,2022,All Payors,7.335329341317365
Bartow,2023,All Payors,7.530774800868937
Bartow,2024,All Payors,8.541392904073588
Bartow,2018,Medicaid payors,8.714918759231907
Bartow,2019,Medicaid payors,7.779349363507778
Bartow,2020,Medicaid payors,7.681564245810056
Bartow,2021,Medicaid payors,7.680945347119645
Bartow,2022,Medicaid payors,8.38607594936709
Bartow,2023,Medicaid payors,8.156606851549755
Bartow,2024,Medicaid payors,8.32
Bartow,2018,Private Insurance,7.478632478632479
Bartow,2019,Private Insurance,6.990291262135923
Bartow,2020,Private Insurance,5.698529411764706
Bartow,2021,Private Insurance,8.051529790660226
Bartow,2022,Private Insurance,7.0116861435726205
Bartow,2023,Private Insurance,5.977382875605816
Bartow,2024,Private Insurance,8.660351826792963
Bartow,2018,Selected Payors Total,8.209606986899564
Bartow,2019,Selected Payors Total,7.446808510638298
Bartow,2020,Selected Payors Total,6.825396825396825
Bartow,2021,Selected Payors Total,7.858243451463791
Bartow,2022,Selected Payors Total,7.717303005686434
Bartow,2023,Selected Payors Total,7.061688311688312
Bartow,2024,Selected Payors Total,8.504398826979472
Ben Hill,2018,All Payors,16.25615763546798
Ben Hill,2019,All Payors,15.384615384615385
Ben Hill,2020,All Payors,11.64021164021164
Ben Hill,2021,All Payors,11.881188118811881
Ben Hill,2022,All Payors,11.594202898550725
Ben Hill,2023,All Payors,16.748768472906402
Ben Hill,2024,All Payors,11.855670103092782
Ben Hill,2018,Medicaid payors,17.56756756756757
Ben Hill,2019,Medicaid payors,17.045454545454543
Ben Hill,2020,Medicaid payors,13.286713286713287
Ben Hill,2021,Medicaid payors,13.580246913580247
Ben Hill,2022,Medicaid payors,12.101910828025478
Ben Hill,2023,Medicaid payors,16.56441717791411
Ben Hill,2024,Medicaid payors,10.714285714285714
Ben Hill,2018,Private Insurance,12.82051282051282
Ben Hill,2019,Private Insurance,12
Ben Hill,2020,Private Insurance,-5
Ben Hill,2021,Private Insurance,0
Ben Hill,2022,Private Insurance,-5
Ben Hill,2023,Private Insurance,20.689655172413794
Ben Hill,2024,Private Insurance,23.52941176470588
Ben Hill,2018,Selected Payors Total,16.577540106951872
Ben Hill,2019,Selected Payors Total,15.929203539823009
Ben Hill,2020,Selected Payors Total,12.068965517241379
