County,Premature Births % 2018,Premature Births % 2024,Δ 2018→2024,Slope (%/yr),p-value,Years of data
Lamar,24.77,15.28,-9.49,-1.08,0.3,7
Jasper,11.18,15.34,4.16,0.59,0.2,7
Newton,13.13,15.35,2.22,0.26,0.32,7
Franklin,8.63,15.36,6.73,0.56,0.28,7
Pierce,17.54,15.42,-2.12,-0.28,0.55,7
Dooly,17.31,15.74,-1.57,0.3,0.7,7
Brantley,11.57,15.98,4.41,0.58,0.18,7
Elbert,8.87,16.04,7.17,1.05,0.02,7
Rockdale,12.17,16.05,3.89,0.61,0.0,7
Dodge,8.3,16.07,7.77,1.2,0.0,7
Bibb,13.88,16.24,2.37,0.19,0.37,7
Meriwether,13.94,16.26,2.32,0.3,0.13,7
Montgomery,17.0,16.51,-0.49,-0.25,0.71,7
Sumter,11.08,16.86,5.78,0.5,0.31,7
Lanier,21.09,16.89,-4.2,-0.25,0.79,7
Wilkes,7.77,16.96,9.2,0.48,0.55,7
Taylor,11.11,17.74,6.63,-0.01,0.99,7
Berrien,11.69,17.81,6.12,0.64,0.3,7
Terrell,10.28,18.07,7.79,1.14,0.05,7
Crisp,15.1,18.07,2.97,0.24,0.73,7
Glascock,-5.0,18.75,23.75,2.54,0.14,7
Irwin,10.91,18.75,7.84,0.07,0.94,7
Baker,-5.0,21.21,26.21,0.09,0.98,7
Stewart,17.65,21.88,4.23,-1.37,0.64,7
Randolph,17.02,22.54,5.51,0.32,0.66,7
Hancock,15.56,24.14,8.58,0.49,0.6,7
Talbot,13.79,27.27,13.48,0.29,0.9,7
