County,Low Birthweight % 2018,Low Birthweight % 2024,Δ 2018→2024,Slope (%/yr),p-value,Years of data
McIntosh,6.93,13.46,6.53,1.01,0.26,7
Clinch,12.5,13.75,1.25,-0.13,0.83,7
Bibb,13.72,13.95,0.23,0.2,0.21,7
Evans,13.79,14.01,0.22,0.02,0.94,7
Wheeler,7.14,14.04,6.89,0.64,0.17,7
Lanier,15.62,14.19,-1.44,0.16,0.86,7
Dodge,6.64,14.29,7.65,1.16,0.08,7
Elbert,8.87,14.62,5.76,0.7,0.1,7
Wilkes,8.74,15.18,6.44,0.67,0.17,7
Dougherty,12.45,15.23,2.78,-0.12,0.78,7
Montgomery,11.0,15.6,4.6,0.01,0.99,7
Turner,15.87,15.65,-0.22,0.2,0.74,7
Irwin,10.91,16.67,5.76,-0.31,0.73,7
Early,16.94,16.83,-0.1,0.19,0.76,7
Warren,17.86,16.95,-0.91,0.18,0.91,7
Baker,-5.0,18.18,23.18,1.81,0.5,7
Talbot,-5.0,18.18,23.18,1.7,0.43,7
Sumter,13.57,18.31,4.74,0.2,0.73,7
Crisp,15.51,18.88,3.37,0.59,0.14,7
Hancock,17.78,18.97,1.19,0.26,0.76,7
Randolph,12.77,21.13,8.36,-0.56,0.8,7
Stewart,23.53,25.0,1.47,1.08,0.68,7
