county,year,group,value
Baldwin,2023,Private Insurance,19.047619047619047
Baldwin,2024,Private Insurance,13.461538461538462
Baldwin,2018,Selected Payors Total,19.791666666666664
Baldwin,2019,Selected Payors Total,21.983914209115284
Baldwin,2020,Selected Payors Total,21.243523316062177
Baldwin,2021,Selected Payors Total,13.521126760563378
Baldwin,2022,Selected Payors Total,16.80672268907563
Baldwin,2023,Selected Payors Total,25.842696629213485
Baldwin,2024,Selected Payors Total,21.951219512195124
Banks,2018,All Payors,14.572864321608039
Banks,2019,All Payors,13.559322033898304
Banks,2020,All Payors,9.62566844919786
Banks,2021,All Payors,9.243697478991598
Banks,2022,All Payors,12.658227848101266
Banks,2023,All Payors,10.300429184549357
Banks,2024,All Payors,12.156862745098039
Banks,2018,Medicaid payors,19.81981981981982
Banks,2019,Medicaid payors,14.893617021276595
Banks,2020,Medicaid payors,17.105263157894736
Banks,2021,Medicaid payors,11.71875
Banks,2022,Medicaid payors,20.33898305084746
Banks,2023,Medicaid payors,16.822429906542055
Banks,2024,Medicaid payors,17.894736842105264
Banks,2018,Private Insurance,-5
Banks,2019,Private Insurance,-5
Banks,2020,Private Insurance,5.4945054945054945
Banks,2021,Private Insurance,6.0606060606060606
Banks,2022,Private Insurance,-5
Banks,2023,Private Insurance,-5
Banks,2024,Private Insurance,6.521739130434782
Banks,2018,Selected Payors Total,13.020833333333334
Banks,2019,Selected Payors Total,11.25
Banks,2020,Selected Payors Total,10.778443113772456
Banks,2021,Selected Payors Total,9.251101321585903
Banks,2022,Selected Payors Total,12.217194570135746
Banks,2023,Selected Payors Total,8.849557522123893
Banks,2024,Selected Payors Total,11.158798283261802
Barrow,2018,All Payors,13.779527559055119
Barrow,2019,All Payors,9.468599033816426
Barrow,2020,All Payors,11.132437619961612
Barrow,2021,All Payors,10.81081081081081
Barrow,2022,All Payors,11.654804270462634
Barrow,2023,All Payors,12.336601307189543
Barrow,2024,All Payors,13.507109004739338
Barrow,2018,Medicaid payors,18.863636363636363
Barrow,2019,Medicaid payors,12.88056206088993
Barrow,2020,Medicaid payors,15.350877192982457
Barrow,2021,Medicaid payors,17.118997912317326
Barrow,2022,Medicaid payors,18.237704918032787
Barrow,2023,Medicaid payors,16.541353383458645
Barrow,2024,Medicaid payors,17.21132897603486
Barrow,2018,Private Insurance,6.91699604743083
Barrow,2019,Private Insurance,4.8582995951417
Barrow,2020,Private Insurance,5.295315682281059
Barrow,2021,Private Insurance,4.612546125461255
Barrow,2022,Private Insurance,4.734848484848484
Barrow,2023,Private Insurance,6.95364238410596
Barrow,2024,Private Insurance,9.37950937950938
Barrow,2018,Selected Payors Total,12.473572938689218
Barrow,2019,Selected Payors Total,8.577633007600435
Barrow,2020,Selected Payors Total,10.137275607180571
Barrow,2021,Selected Payors Total,10.479921645445641
Barrow,2022,Selected Payors Total,11.220472440944881
Barrow,2023,Selected Payors Total,11.443661971830986
Barrow,2024,Selected Payors Total,12.5
Bartow,2018,All Payors,16.524701873935264
Bartow,2019,All Payors,17.034700315457414
Bartow,2020,All Payors,17
Bartow,2021,All Payors,15.961395694135113
Bartow,2022,All Payors,14.37216338880484
Bartow,2023,All Payors,15.215801024140454
Bartow,2024,All Payors,18.206338503034388
Bartow,2018,Medicaid payors,21.609538002980628
Bartow,2019,Medicaid payors,23.959827833572454
Bartow,2020,Medicaid payors,22.3943661971831
Bartow,2021,Medicaid payors,20.474777448071215
Bartow,2022,Medicaid payors,17.89137380191693
Bartow,2023,Medicaid payors,19.407894736842106
Bartow,2024,Medicaid payors,17.868852459016395
Bartow,2018,Private Insurance,8.388520971302428
Bartow,2019,Private Insurance,7.128712871287128
Bartow,2020,Private Insurance,8.317929759704251
Bartow,2021,Private Insurance,9.75609756097561
Bartow,2022,Private Insurance,7.7834179357022
Bartow,2023,Private Insurance,7.32899022801303
Bartow,2024,Private Insurance,15.277777777777779
Bartow,2018,Selected Payors Total,16.281138790035588
Bartow,2019,Selected Payors Total,16.888519134775372
Bartow,2020,Selected Payors Total,16.30695443645084
Bartow,2021,Selected Payors Total,15.360744763382467
Bartow,2022,Selected Payors Total,12.982744453574362
Bartow,2023,Selected Payors Total,13.338788870703763
Bartow,2024,Selected Payors Total,16.466165413533833
Ben Hill,2018,All Payors,15.422885572139302
Ben Hill,2019,All Payors,18.4549356223176
Ben Hill,2020,All Payors,21.164021164021165
Ben Hill,2021,All Payors,17.91044776119403
Ben Hill,2022,All Payors,24.154589371980677
Ben Hill,2023,All Payors,13.930348258706468
Ben Hill,2024,All Payors,18.421052631578945
Ben Hill,2018,Medicaid payors,13.698630136986301
Ben Hill,2019,Medicaid payors,17.71428571428571
Ben Hill,2020,Medicaid payors,23.776223776223777
Ben Hill,2021,Medicaid payors,18.633540372670808
Ben Hill,2022,Medicaid payors,27.388535031847134
Ben Hill,2023,Medicaid payors,12.962962962962962
Ben Hill,2024,Medicaid payors,18.115942028985508
Ben Hill,2018,Private Insurance,-5
Ben Hill,2019,Private Insurance,18
Ben Hill,2020,Private Insurance,-5
Ben Hill,2021,Private Insurance,-5
Ben Hill,2022,Private Insurance,-5
Ben Hill,2023,Private Insurance,-5
Ben Hill,2024,Private Insurance,-5
Ben Hill,2018,Selected Payors Total,11.891891891891893
Ben Hill,2019,Selected Payors Total,17.77777777777778
Ben Hill,2020,Selected Payors Total,20.689655172413794
Ben Hill,2021,Selected Payors Total,16.75392670157068
Ben Hill,2022,Selected Payors Total,23.684210526315788
Ben Hill,2023,Selected Payors Total,12.631578947368421
Ben Hill,2024,Selected Payors Total,17.058823529411764
Berrien,2018,All Payors,15.486725663716813
Berrien,2019,All Payors,15.021459227467812
Berrien,2020,All Payors,15.577889447236181
Berrien,2021,All Payors,15.121951219512194
Berrien,2022,All Payors,12.844036697247708
Berrien,2023,All Payors,18.13953488372093
Berrien,2024,All Payors,23.394495412844037
Berrien,2018,Medicaid payors,17.857142857142858
Berrien,2019,Medicaid payors,17.419354838709676
Berrien,2020,Medicaid payors,16.911764705882355
Berrien,2021,Medicaid payors,16.541353383458645
Berrien,2022,Medicaid payors,15.441176470588236
Berrien,2023,Medicaid payors,18.461538461538463
Berrien,2024,Medicaid payors,22.535211267605636
Berrien,2018,Private Insurance,-5
Berrien,2019,Private Insurance,-5
Berrien,2020,Private Insurance,15
Berrien,2021,Private Insurance,-5
Berrien,2022,Private Insurance,8.47457627118644
Berrien,2023,Private Insurance,-5
Berrien,2024,Private Insurance,20.833333333333336
Berrien,2018,Selected Payors Total,13.106796116504855
Berrien,2019,Selected Payors Total,14.150943396226415
Berrien,2020,Selected Payors Total,16.477272727272727
Berrien,2021,Selected Payors Total,13.966480446927374
Berrien,2022,Selected Payors Total,13.333333333333334
Berrien,2023,Selected Payors Total,14.594594594594595
Berrien,2024,Selected Payors Total,22.105263157894736
Bibb,2018,All Payors,17.60042283298097
Bibb,2019,All Payors,16.032887975334017
Bibb,2020,All Payors,18.453608247422682
Bibb,2021,All Payors,18.798151001540834
Bibb,2022,All Payors,22.351748606183477
Bibb,2023,All Payors,23.12295973884657
Bibb,2024,All Payors,23.161189358372457
Bibb,2018,Medicaid payors,21.25984251968504
Bibb,2019,Medicaid payors,18.310911808669655
Bibb,2020,Medicaid payors,20.951650038372986
Bibb,2021,Medicaid payors,21.634241245136188
Bibb,2022,Medicaid payors,26.226993865030675
Bibb,2023,Medicaid payors,27.454242928452576
Bibb,2024,Medicaid payors,27.752081406105454
Bibb,2018,Private Insurance,3.9045553145336225
Bibb,2019,Private Insurance,4.49438202247191
