county,year,group,value
Banks,2020,Selected Races Total,12.432432432432433
Banks,2021,Selected Races Total,11.158798283261802
Banks,2022,Selected Races Total,9.565217391304348
Banks,2023,Selected Races Total,15.086206896551724
Banks,2024,Selected Races Total,12.062256809338521
Barrow,2018,All Races,9.473684210526317
Barrow,2019,All Races,11.969839773798304
Barrow,2020,All Races,9.790874524714829
Barrow,2021,All Races,11.76470588235294
Barrow,2022,All Races,12.137203166226913
Barrow,2023,All Races,10.016025641025642
Barrow,2024,All Races,10.878010878010878
Barrow,2018,White,9.462616822429906
Barrow,2019,White,11.724137931034482
Barrow,2020,White,9.188544152744631
Barrow,2021,White,11.563169164882227
Barrow,2022,White,11.6331096196868
Barrow,2023,White,10.020242914979757
Barrow,2024,White,11.386138613861387
Barrow,2018,Black or African-American,8.695652173913043
Barrow,2019,Black or African-American,13.20754716981132
Barrow,2020,Black or African-American,16.39344262295082
Barrow,2021,Black or African-American,15.789473684210526
Barrow,2022,Black or African-American,18.354430379746837
Barrow,2023,Black or African-American,9.35672514619883
Barrow,2024,Black or African-American,9.72972972972973
Barrow,2018,Selected Races Total,9.37178166838311
Barrow,2019,Selected Races Total,11.885245901639344
Barrow,2020,Selected Races Total,10.104166666666666
Barrow,2021,Selected Races Total,12.022900763358779
Barrow,2022,Selected Races Total,12.642585551330798
Barrow,2023,Selected Races Total,9.92234685073339
Barrow,2024,Selected Races Total,11.129707112970712
Bartow,2018,All Races,11.872909698996656
Bartow,2019,All Races,11.53250773993808
Bartow,2020,All Races,9.916094584286803
Bartow,2021,All Races,10.464259395725865
Bartow,2022,All Races,10.404191616766468
Bartow,2023,All Races,11.006517016654598
Bartow,2024,All Races,10.840998685939553
Bartow,2018,White,12.106768350810295
Bartow,2019,White,10.855565777368906
Bartow,2020,White,9.746588693957115
Bartow,2021,White,10.220264317180616
Bartow,2022,White,10.511882998171847
Bartow,2023,White,10.095735422106179
Bartow,2024,White,10.595514307811293
Bartow,2018,Black or African-American,12.149532710280374
Bartow,2019,Black or African-American,15.584415584415584
Bartow,2020,Black or African-American,10.909090909090908
Bartow,2021,Black or African-American,13.664596273291925
Bartow,2022,Black or African-American,10.582010582010582
Bartow,2023,Black or African-American,15.822784810126583
Bartow,2024,Black or African-American,11.39240506329114
Bartow,2018,Selected Races Total,12.110726643598616
Bartow,2019,Selected Races Total,11.44238517324738
Bartow,2020,Selected Races Total,9.951845906902086
Bartow,2021,Selected Races Total,10.648148148148149
Bartow,2022,Selected Races Total,10.522213561964147
Bartow,2023,Selected Races Total,10.788064269319051
Bartow,2024,Selected Races Total,10.682288077188145
Ben Hill,2018,All Races,14.285714285714285
Ben Hill,2019,All Races,10.256410256410255
Ben Hill,2020,All Races,12.698412698412698
Ben Hill,2021,All Races,15.346534653465346
Ben Hill,2022,All Races,14.975845410628018
Ben Hill,2023,All Races,16.748768472906402
Ben Hill,2024,All Races,14.432989690721648
Ben Hill,2018,White,13.829787234042554
Ben Hill,2019,White,9.25925925925926
Ben Hill,2020,White,12.5
Ben Hill,2021,White,16.50485436893204
Ben Hill,2022,White,10.891089108910892
Ben Hill,2023,White,12.643678160919542
Ben Hill,2024,White,12.631578947368421
Ben Hill,2018,Black or African-American,15.384615384615385
Ben Hill,2019,Black or African-American,10.743801652892563
Ben Hill,2020,Black or African-American,13.793103448275861
Ben Hill,2021,Black or African-American,14.736842105263156
Ben Hill,2022,Black or African-American,20.408163265306122
Ben Hill,2023,Black or African-American,20.5607476635514
Ben Hill,2024,Black or African-American,16.867469879518072
Ben Hill,2018,Selected Races Total,14.646464646464647
Ben Hill,2019,Selected Races Total,10.043668122270741
Ben Hill,2020,Selected Races Total,13.114754098360656
Ben Hill,2021,Selected Races Total,15.656565656565657
Ben Hill,2022,Selected Races Total,15.577889447236181
Ben Hill,2023,Selected Races Total,17.010309278350515
Ben Hill,2024,Selected Races Total,14.606741573033707
Berrien,2018,All Races,11.688311688311687
Berrien,2019,All Races,11.11111111111111
Berrien,2020,All Races,12.5
Berrien,2021,All Races,8.737864077669903
Berrien,2022,All Races,9.174311926605505
Berrien,2023,All Races,12.5
Berrien,2024,All Races,17.80821917808219
Berrien,2018,White,12.307692307692308
Berrien,2019,White,10.679611650485436
Berrien,2020,White,9.941520467836257
Berrien,2021,White,6.358381502890173
Berrien,2022,White,7.777777777777778
Berrien,2023,White,11.351351351351353
Berrien,2024,White,16.766467065868262
Berrien,2018,Black or African-American,-5
Berrien,2019,Black or African-American,-5
Berrien,2020,Black or African-American,34.78260869565217
Berrien,2021,Black or African-American,20.689655172413794
Berrien,2022,Black or African-American,-5
Berrien,2023,Black or African-American,25
Berrien,2024,Black or African-American,27.027027027027028
Berrien,2018,Selected Races Total,12
Berrien,2019,Selected Races Total,11.403508771929824
Berrien,2020,Selected Races Total,12.886597938144329
Berrien,2021,Selected Races Total,8.415841584158416
Berrien,2022,Selected Races Total,8.095238095238095
Berrien,2023,Selected Races Total,12.682926829268293
Berrien,2024,Selected Races Total,18.627450980392158
Bibb,2018,All Races,13.875847678664579
Bibb,2019,All Races,14.873096446700506
Bibb,2020,All Races,14.475025484199797
Bibb,2021,All Races,16.34419551934827
Bibb,2022,All Races,14.530776992936428
Bibb,2023,All Races,13.952225841476656
Bibb,2024,All Races,16.241540864133263
Bibb,2018,White,11.472602739726028
Bibb,2019,White,10.57347670250896
Bibb,2020,White,14.041745730550284
Bibb,2021,White,11.602209944751381
Bibb,2022,White,10.327022375215146
Bibb,2023,White,8.835341365461847
Bibb,2024,White,14.506172839506174
Bibb,2018,Black or African-American,15.120000000000001
Bibb,2019,Black or African-American,16.913946587537094
Bibb,2020,Black or African-American,14.773570898292501
Bibb,2021,Black or African-American,18.526785714285715
Bibb,2022,Black or African-American,16.666666666666664
Bibb,2023,Black or African-American,16.275430359937403
Bibb,2024,Black or African-American,17.42489270386266
Bibb,2018,Selected Races Total,13.958560523446021
Bibb,2019,Selected Races Total,15.057712486883526
Bibb,2020,Selected Races Total,14.56776947705443
Bibb,2021,Selected Races Total,16.534181240063592
Bibb,2022,Selected Races Total,14.716781365802012
Bibb,2023,Selected Races Total,14.18918918918919
Bibb,2024,Selected Races Total,16.381687810259237
Bleckley,2018,All Races,6.451612903225806
Bleckley,2019,All Races,12.32876712328767
Bleckley,2020,All Races,11.023622047244094
Bleckley,2021,All Races,14.166666666666666
Bleckley,2022,All Races,15.702479338842975
Bleckley,2023,All Races,18.620689655172416
Bleckley,2024,All Races,9.774436090225564
Bleckley,2018,White,8.450704225352112
Bleckley,2019,White,10.891089108910892
Bleckley,2020,White,-5
Bleckley,2021,White,12.5
Bleckley,2022,White,9.63855421686747
Bleckley,2023,White,13.88888888888889
Bleckley,2024,White,10.416666666666668
Bleckley,2018,Black or African-American,-5
Bleckley,2019,Black or African-American,16.27906976744186
Bleckley,2020,Black or African-American,19.565217391304348
Bleckley,2021,Black or African-American,20
Bleckley,2022,Black or African-American,23.52941176470588
Bleckley,2023,Black or African-American,33.33333333333333
Bleckley,2024,Black or African-American,-5
Bleckley,2018,Selected Races Total,6.722689075630252
Bleckley,2019,Selected Races Total,12.5
Bleckley,2020,Selected Races Total,10.483870967741936
Bleckley,2021,Selected Races Total,14.40677966101695
Bleckley,2022,Selected Races Total,13.675213675213676
Bleckley,2023,Selected Races Total,18.75
Bleckley,2024,Selected Races Total,9.923664122137405
Brantley,2018,All Races,11.570247933884298
Brantley,2019,All Races,14.85148514851485
Brantley,2020,All Races,14.903846153846153
Brantley,2021,All Races,11.594202898550725
Brantley,2022,All Races,17.370892018779344
Brantley,2023,All Races,15.07537688442211
Brantley,2024,All Races,15.981735159817351
Brantley,2018,White,10.822510822510822
Brantley,2019,White,14.210526315789473
Brantley,2020,White,14.14141414141414
Brantley,2021,White,11.34020618556701
Brantley,2022,White,15.463917525773196
Brantley,2023,White,14.594594594594595
Brantley,2024,White,16.50485436893204
Brantley,2018,Black or African-American,-5
Brantley,2019,Black or African-American,-5
Brantley,2020,Black or African-American,-5
Brantley,2021,Black or African-American,-5
Brantley,2022,Black or African-American,55.55555555555556
Brantley,2023,Black or African-American,-5
Brantley,2024,Black or African-American,0
Brantley,2018,Selected Races Total,11.297071129707113
Brantley,2019,Selected Races Total,14.583333333333334
Brantley,2020,Selected Races Total,14.77832512315271
Brantley,2021,Selected Races Total,11.822660098522167
Brantley,2022,Selected Races Total,17.24137931034483
Brantley,2023,Selected Races Total,14.507772020725387
Brantley,2024,Selected Races Total,16.19047619047619
Brooks,2018,All Races,10.365853658536585
Brooks,2019,All Races,14.3646408839779
Brooks,2020,All Races,11.363636363636363
Brooks,2021,All Races,21.875
Brooks,2022,All Races,10.759493670886076
Brooks,2023,All Races,12.352941176470589
Brooks,2024,All Races,11.881188118811881
Brooks,2018,White,12.087912087912088
Brooks,2019,White,8.60215053763441
Brooks,2020,White,6.315789473684211
Brooks,2021,White,16.8141592920354
Brooks,2022,White,13.978494623655912
Brooks,2023,White,-5
Brooks,2024,White,9.166666666666666
Brooks,2018,Black or African-American,8.450704225352112
Brooks,2019,Black or African-American,21.686746987951807
Brooks,2020,Black or African-American,17.80821917808219
Brooks,2021,Black or African-American,30.263157894736842
Brooks,2022,Black or African-American,-5
Brooks,2023,Black or African-American,21.91780821917808
Brooks,2024,Black or African-American,18.30985915492958
Brooks,2018,Selected Races Total,10.493827160493826
Brooks,2019,Selected Races Total,14.772727272727273
Brooks,2020,Selected Races Total,11.30952380952381
Brooks,2021,Selected Races Total,22.22222222222222
Brooks,2022,Selected Races Total,11.18421052631579
Brooks,2023,Selected Races Total,12.269938650306749
Brooks,2024,Selected Races Total,12.56544502617801
Bryan,2018,All Races,8.897485493230175
Bryan,2019,All Races,11.030741410488245
Bryan,2020,All Races,11.073825503355705
Bryan,2021,All Races,10.472972972972974
Bryan,2022,All Races,11.532385466034755
Bryan,2023,All Races,10.641891891891891
Bryan,2024,All Races,12.411347517730496
Bryan,2018,White,7.090464547677261
Bryan,2019,White,10.51454138702461
Bryan,2020,White,10.31390134529148
Bryan,2021,White,11.659192825112108
Bryan,2022,White,11.881188118811881
Bryan,2023,White,10.50328227571116
Bryan,2024,White,11.46788990825688
Bryan,2018,Black or African-American,17.333333333333336
Bryan,2019,Black or African-American,12.5
Bryan,2020,Black or African-American,15.454545454545453
Bryan,2021,Black or African-American,5.88235294117647
Bryan,2022,Black or African-American,9.375
Bryan,2023,Black or African-American,10.638297872340425
Bryan,2024,Black or African-American,16.867469879518072
Bryan,2018,Selected Races Total,8.677685950413224
Bryan,2019,Selected Races Total,10.789980732177264
Bryan,2020,Selected Races Total,11.33093525179856
Bryan,2021,Selected Races Total,10.583941605839415
Bryan,2022,Selected Races Total,11.480865224625623
Bryan,2023,Selected Races Total,10.526315789473683
Bryan,2024,Selected Races Total,12.33140655105973
Bulloch,2018,All Races,11.098779134295228
Bulloch,2019,All Races,13.5706340378198
Bulloch,2020,All Races,11.098265895953757
Bulloch,2021,All Races,11.962833914053427
Bulloch,2022,All Races,11.617312072892938
Bulloch,2023,All Races,12.582781456953644
Bulloch,2024,All Races,14.238042269187986
Bulloch,2018,White,9.380863039399625
Bulloch,2019,White,9.922178988326849
Bulloch,2020,White,10.897435897435898
Bulloch,2021,White,11.238095238095239
Bulloch,2022,White,11.029411764705882
Bulloch,2023,White,10.01926782273603
Bulloch,2024,White,11.934900542495479
Bulloch,2018,Black or African-American,13.690476190476192
Bulloch,2019,Black or African-American,18.487394957983195
Bulloch,2020,Black or African-American,11.695906432748536
Bulloch,2021,Black or African-American,13.712374581939798
Bulloch,2022,Black or African-American,12.758620689655173
Bulloch,2023,Black or African-American,16.119402985074625
Bulloch,2024,Black or African-American,18.93687707641196
Bulloch,2018,Selected Races Total,11.047180667433832
Bulloch,2019,Selected Races Total,13.432835820895523
Bulloch,2020,Selected Races Total,11.234567901234568
Bulloch,2021,Selected Races Total,12.135922330097088
Bulloch,2022,Selected Races Total,11.630695443645084
Bulloch,2023,Selected Races Total,12.412177985948478
Bulloch,2024,Selected Races Total,14.402810304449648
Burke,2018,All Races,12.5
Burke,2019,All Races,13.953488372093023
Burke,2020,All Races,10.915492957746478
Burke,2021,All Races,10.948905109489052
Burke,2022,All Races,11.447811447811448
Burke,2023,All Races,10.408921933085502
Burke,2024,All Races,11.498257839721255
Burke,2018,White,9.166666666666666
Burke,2019,White,9.523809523809524
Burke,2020,White,6.8181818181818175
